Name,Latitude,Longitude,Description,Type
Unnamed Bicycle Parking,1.3603402,103.7772229,"Capacity: 8, Covered: Unknown",Bicycle Parking
Varsity Park Car Park,1.2959877,103.7681366,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3069117,103.7907174,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3608128,103.9445103,"Capacity: 8, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3595758,103.7517021,"Capacity: 50, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4095685,103.9886387,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Garden by the Bay,1.2857171,103.8627371,"Capacity: 8, Covered: no",Bicycle Parking
Bugis+,1.2995108,103.8536195,"Capacity: 15, Covered: no",Bicycle Parking
Bugis MRT station,1.301047,103.8558743,"Capacity: 20, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3030335,103.8380742,"Capacity: 6, Covered: yes",Bicycle Parking
Tanglin Mall,1.3051187,103.8236297,"Capacity: 15, Covered: no",Bicycle Parking
National Library,1.2979467,103.8543017,"Capacity: 6, Covered: yes",Bicycle Parking
National Library,1.2977992,103.8546543,"Capacity: 10, Covered: yes",Bicycle Parking
National Library,1.2970682,103.8541285,"Capacity: 36, Covered: no",Bicycle Parking
Bugis Junction,1.2997563,103.8552719,"Capacity: 12, Covered: no",Bicycle Parking
Paya Lebar,1.3183414,103.8936471,"Capacity: 50, Covered: no",Bicycle Parking
Li Ka Shing Library,1.2965648,103.8500092,"Capacity: 34, Covered: no",Bicycle Parking
KKH Hospital,1.3111485,103.8473879,"Capacity: 40, Covered: yes",Bicycle Parking
Bugis MRT station,1.3011316,103.8556645,"Capacity: 24, Covered: no",Bicycle Parking
Bugis MRT station,1.300684,103.8563235,"Capacity: 36, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3515913,103.8628908,"Capacity: Unknown Capacity, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.2845342,103.8653292,"Capacity: 10, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.2833249,103.8678024,"Capacity: 8, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.2891416,103.854569,"Capacity: 10, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.2861979,103.860311,"Capacity: 28, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3070928,103.818485,"Capacity: 4, Covered: Unknown",Bicycle Parking
