Name,Latitude,Longitude,Description,Type
Scootz Bikes,1.2809571,103.8264126,Address: Unknown Number Unknown Street,Bicycle Shop
CycleCraft,1.3081799,103.9089994,Address: Unknown Number East Coast Road,Bicycle Shop
Cannondale,1.3151628,103.9191479,Address: 83 Frankel Avenue,Bicycle Shop
Rodalink,1.313745,103.9319059,Address: 166B Upper East Coast Road,Bicycle Shop
T3,1.3133474,103.9275281,Address: Unknown Number Upper East Coast Road,Bicycle Shop
Pro Bike,1.3041606,103.9025273,Address: Unknown Number Unknown Street,Bicycle Shop
Unnamed Bicycle Shop,1.3887843,103.9883216,Address: Unknown Number Unknown Street,Bicycle Shop
Unnamed Bicycle Shop,1.3888607,103.9877516,Address: Unknown Number Unknown Street,Bicycle Shop
The Rebound Centre,1.3189732,103.891054,Address: 05-110 1013 Geylang East Ave 3,Bicycle Shop
Bike Connect,1.2964951,103.8300418,Address: 23 Hoot Kiam Road,Bicycle Shop
Hup Leong,1.2872689,103.8422556,Address: 51 Chin Swee Road,Bicycle Shop
Bike Actually,1.2987695,103.8460031,Address: 11 Orchard Road,Bicycle Shop
Cheap John's Enterprise,1.4407715,103.8249312,Address: 598B Sembawang Road,Bicycle Shop
Fat Cat Cycle,1.3675508,103.8899155,Address: Unknown Number Unknown Street,Bicycle Shop
TR Bike,1.3138177,103.857399,Address: Unknown Number Unknown Street,Bicycle Shop
Chapter 2 Cycle,1.3689943,103.8556674,Address: Unknown Number Unknown Street,Bicycle Shop
Hello Bicycle,1.2993149,103.8527271,Address: 135 Middle Road,Bicycle Shop
Poh Cycle,1.37819,103.739069,Address: Unknown Number Unknown Street,Bicycle Shop
Dynamic Bike Shop,1.3415501,103.6919384,Address: Unknown Number Unknown Street,Bicycle Shop
Chin Leong Bicycle Co.,1.3145164,103.8899636,Address: Unknown Number Geylang Road,Bicycle Shop
Chin Hong Cycle Co.,1.3094674,103.9024324,Address: Unknown Number Joo Chiat Road,Bicycle Shop
Integrated Riding,1.312095,103.9051143,Address: Unknown Number Koon Seng Road,Bicycle Shop
My Bike Shop,1.281103,103.8186994,Address: 213 Henderson Road,Bicycle Shop
Kestrel,1.3403807,103.8848378,Address: Unknown Number Jalan Bunga Rampai,Bicycle Shop
Moko,1.3401725,103.8850394,Address: Unknown Number Jalan Bunga Rampai,Bicycle Shop
D Cyclewerh 1,1.4357131,103.8435542,Address: Unknown Number Yishun Avenue 9,Bicycle Shop
Tokyobike,1.3010232,103.8589422,Address: Unknown Number Haji Lane,Bicycle Shop
F45,1.3072813,103.8953163,Address: Unknown Number Tanjong Katong Road,Bicycle Shop
Performance Cycles,1.3082324,103.8952085,Address: Unknown Number Tanjong Katong Road,Bicycle Shop
Ban Hin Chan,1.3039066,103.860398,Address: Unknown Number North Bridge Road,Bicycle Shop
Unnamed Bicycle Shop,1.3227173,103.7699236,Address: Unknown Number Sunset Way,Bicycle Shop
BYX- The Bicycle Company,1.295409,103.8300888,Address: Unknown Number River Valley Road,Bicycle Shop
Bike Haus,1.3310363,103.7962726,Address: 785 Bukit Timah Road,Bicycle Shop
Bike Stop,1.3530615,103.8341778,Address: Unknown Number Upper Thomson Road,Bicycle Shop
The bike settlement,1.2988338,103.8526717,Address: Unknown Number Unknown Street,Bicycle Shop
Heap Hong & Co,1.3146262,103.8562822,Address: 683 Tessensohn Rd,Bicycle Shop
Ong Heng Bee Company,1.3337518,103.9282671,Address: 527 Bedok North Street 3,Bicycle Shop
Ban Soon Bicycle Shop,1.3143789,103.8712786,Address: 11 Upper Boon Keng Road,Bicycle Shop
12cycle,1.3042727,103.89635,Address: 326 Tanjong Katong Road,Bicycle Shop
Tay Cycle,1.3467816,103.944116,Address: 01-40 Tampines Street 11,Bicycle Shop
Treknology 3,1.3128777,103.9243723,Address: 903 East Coast Road,Bicycle Shop
Soon Watt,1.3254864,103.8964589,Address: 53 #03-08 Ubi Avenue 1,Bicycle Shop
The Service Course,1.2775213,103.8488476,Address: 6a 01-12 Shenton Way,Bicycle Shop
Scooter Hub Clementi,1.313915,103.7711988,Address: 354 #01-209,Bicycle Shop
Seng Bee Bicycle Shop,1.3124951,103.872419,Address: Unknown Number Unknown Street,Bicycle Shop
