Name,Latitude,Longitude,Description,Type
Botanic Garden Nassim Gate,,,Postal Code:: 259598<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Esplanade,1.289413367,103.8563204,Postal Code:: 039802<br>Level:: 1<br>Description:: Outside public toilets beside Aniplus store<br>Temperature of water:: Cold<br>Operator:: Esplanade Company<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.289413367<br>Longitude:: 103.8563204,Verified
Hougang Central Interchange,,,Postal Code:: 538757<br>Level:: 1<br>Description:: Next to Ticket Office<br>Temperature of water:: Room Temperature<br>Operator:: SBS Transit<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Adam Food Centre,1.324232065,103.8142463,Postal Code:: 289876<br>Level:: 1<br>Description:: Next to stall 1<br>Temperature of water:: Cold<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.324232065<br>Longitude:: 103.8142463,Verified
Geylang Bahru Food Centre,,,Postal Code:: 330069<br>Level:: 1<br>Description:: Close to hand washing area & wet market<br>Temperature of water:: Room Temperature<br>Operator:: Jalan Besar Town Council<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Punggol Point Park,1.420985645,103.9109749,"Postal Code:: 828694<br>Level:: 1<br>Description:: In front of the toilets, facing the tortoise pond in Punggol Point Park<br>Temperature of water:: Cold<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.420985645<br>Longitude:: 103.9109749",Verified
Kallang Estate Market,,,"Postal Code:: 397972<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold, Unsure<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Upper Pierce Reservoir Toilet,1.374309,103.811805,Postal Code:: 9RF6+PPF Singapore<br>Level:: 1<br>Description:: Next to toilet watch out for monkeys tho :)<br>Temperature of water:: Room Temperature<br>Operator:: NParks/PUB<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.374309<br>Longitude:: 103.811805,Verified
Darul Makmur Mosque,,,Postal Code:: 769099<br>Level:: 1<br>Description:: Outside north entrance facing Yishun Neighbourhood park<br>Temperature of water:: Unsure<br>Operator:: Darul Makmur Mosque<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Pandan Reservoir Amenities Centre,1.319726791,103.7370052,Postal Code:: 609159<br>Level:: 1<br>Description:: Pandan Reservoir<br>Temperature of water:: Cold<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.319726791<br>Longitude:: 103.7370052,Verified
NEX,1.350947104,103.8725965,"Postal Code:: 556083<br>Level:: B2<br>Description:: Next to toilet beside Jinjja Chicken<br>Temperature of water:: Cold, Hot<br>Operator:: NEX<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.350947104<br>Longitude:: 103.8725965",Verified
Chinatown Complex,,,Postal Code:: 050335<br>Level:: 2<br>Description:: Outside public toilets at blue zone<br>Temperature of water:: Cold<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Velocity,,,"Postal Code:: 307683<br>Level:: Multiple<br>Description:: Outside public toilets<br>Temperature of water:: Cold, Hot<br>Operator:: Velocity<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Bukit Canberra Hawker Centre,,,"Postal Code:: 752350<br>Level:: 1, 2<br>Description:: Around the hawker centre<br>Temperature of water:: Cold<br>Operator:: Canopy Hawkers Group Pte Ltd<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Telok Blangah Hill Park,1.278153,103.81353,Postal Code:: 109178<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.278153<br>Longitude:: 103.81353,Verified
Hortpark: Visiter Centre Building,1.27889001,103.8014111,Postal Code:: 7RH2+JGG Singapore<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.27889001<br>Longitude:: 103.8014111,Verified
