Name,Latitude,Longitude,Description,Type
Bedok Reservoir Carpark A: Near to toilets,1.338747,103.933568,Postal Code:: 8WQM+GC4 Singapore<br>Latitude:: 1.338747<br>Level:: 1<br>Description:: Outside public toilets (Red Rooftop + white walls)<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Google Street Images<br>Longitude:: 103.933568,Verified
Bedok Reservoir Carpark B: Near to toilets,1.347284277,103.9253415,Postal Code:: 8WWG+W4 Singapore<br>Latitude:: 1.347284277<br>Level:: 1<br>Description:: Outside public toilets (Red Rooftop + grey walls)<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Google Street Images<br>Longitude:: 103.9253415,Verified
Telok Blangah Food Centre,1.273557564,103.8076044,Postal Code:: 100079<br>Latitude:: 1.273557564<br>Level:: 1<br>Description:: Beside open air carpark<br>Temperature of water:: Unsure<br>Operator:: West Coast Town Council<br>Source:: Google Forms<br>Verified:: Verified: Google Street Images<br>Longitude:: 103.8076044,Verified
Masjid Ar-Raudhah Mosque (Not Working),1.351796256,103.7555657,Postal Code:: 659919<br>Latitude:: 1.351796256<br>Level:: 1<br>Description:: 50 Bukit Batok East Ave 5 - Next to rear gate<br>Temperature of water:: Room Temperature<br>Operator:: Masjid Ar-Raudhah Mosque<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.7555657,Verified
West Coast Park,1.296779,103.762734,Postal Code:: 7QW7+M4 Singapore<br>Latitude:: 1.296779<br>Level:: 1<br>Description:: Outside public toilets (Red round rooftop + white walls)<br>Temperature of water:: Cold<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Google Street Images<br>Longitude:: 103.762734,Verified
West Coast Park,1.292011,103.766177,Postal Code:: 7QR8+RF3 Singapore<br>Latitude:: 1.292011<br>Level:: 1<br>Description:: Outside public toilets (Next to bicycle shop)<br>Temperature of water:: Cold<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Google Street Images<br>Longitude:: 103.766177,Verified
West Coast Park,1.289815,103.770184,Postal Code:: 7QQC+W3F Singapore<br>Latitude:: 1.289815<br>Level:: 1<br>Description:: Outside public toilets (Red rooftop + beige walls)<br>Temperature of water:: Cold<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Google Street Images<br>Longitude:: 103.770184,Verified
Kampong Bahru Bus Terminal,1.275949966,103.8330071,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAV8Lp00syBctmiBiBjgPlN163lR_LpcUzwwn1kgRpNna6cjoIS2fPz1vICvJIl0x_W5n_CCy4FIuESmu0a8-VM3Fa7SLKYxngK4K4uo9Gat-8e86RjkLZx2-JlDaP5zd8wkC5Znz5yma0OuwOen0kD4k9E6Zuwuflt5fenE4ghBjRcX1glM4LJGX4kGkbfp4WHaWu9mCmQz2THspkCVrvT-NglNvtJ30JX_F745ZayNzqhGDkf6IFmOetM?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 7RGM+95Q Singapore<br>Latitude:: 1.275949966<br>Level:: 1<br>Description:: Next to Ticketing Office<br>Temperature of water:: Cold, Hot<br>Operator:: SBS Transit<br>Source:: Google Forms<br>Verified:: Verified: Google Street Images<br>Longitude:: 103.8330071",Verified
Kampong Bahru Bus Terminal,1.275981318,103.8333694,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUZIHLOQZ7mR-Tz4s2FgqEPqWl3wUvrpFJ9D8GmmD7MvvXW9OL959cI0V2Uj5b0vDyK726MFykyPiWwOWTZ4QlEzfX7JEGNbH1l_CCy3mnSm7nbQbioAIh3MOv_RMCpt53BAZD4VDXYI1lLLZPY6OVFsJ00Dv3v6j_bLAwC74obnVa7qj3y9dp82rrw0je0EQE_tPFiSPIQhUHZ8db8ynuP3Ibi7BxVz7R2HqMkxeBKl4oEVZ62UMdmHI8?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 7RGM+98X Singapore<br>Latitude:: 1.275981318<br>Level:: 1<br>Description:: Next to canteen. Near the public toilets<br>Temperature of water:: Cold, Hot<br>Operator:: SBS Transit<br>Source:: Google Forms<br>Verified:: Verified: Google Street Images<br>Longitude:: 103.8333694",Verified
GBTB: Bay East Garden Visitor Centre,1.294047687,103.868299,Postal Code:: 437438<br>Latitude:: 1.294047687<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Google Street Images<br>Longitude:: 103.868299,Verified
Labrador Nature Reserve Park: Carpark B,1.2645843,103.8036655,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWWMPXIR9b28_28y3OufcVq6PzdyqhRPEpfE8-VELGgIC0rMbtUz-Evq6oR_8TQ4mF59QRzzxmKVROrOHYCBv3FzjKnrVFP2nUg_96z22bwhnb1n3mAZwxKpQ8wKoGZ7Kq6pm6nhwd6l34oYdPJi26sCGpsk35Y-YywsIl9O_HEluX99X5qvtbtlLGIdTzhn5_bWfyX7Y8LCuGWiQVteqBaAh-pEGFDdQ6_LP1lqAIOFtnaFI2flG2WKCw?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 7R73+RF Singapore<br>Latitude:: 1.2645843<br>Level:: Ground<br>Description:: Next to public toilet and Car Park B<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Google Street Images<br>Longitude:: 103.8036655",Verified
Jalan Kayu Node,1.4028848,103.8718865,Postal Code:: CV3C+5Q2 Singapore<br>Latitude:: 1.4028848<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Unsure<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Google Street Images<br>Longitude:: 103.8718865,Verified
JEM: Muji,1.333101221,103.7430353,Postal Code:: 608549<br>Latitude:: 1.333101221<br>Level:: 4<br>Description:: Inside Muji Shop<br>Temperature of water:: Room Temperature<br>Operator:: Muji<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.7430353,Verified
Pang Sua Park Connector,1.393708817,103.7524266,Postal Code:: 9QV2+CW Singapore<br>Latitude:: 1.393708817<br>Level:: 1<br>Description:: Next to stairs<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.7524266,Verified
Keat Hong Community Club,1.3841,103.7448,Postal Code:: 689687<br>Latitude:: <br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: ,Verified
